losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
0.12863826751708984,0.5026395916938782,0.0009215669706463814,,1763260518.9269383,803.0,9.024577593663707e-05,462.6755464076996,,349696,0.0,3669,0.0044361441396176815,-0.0008960133418440819,-0.01677262783050537
0.03252893686294556,0.5744946599006653,1.0533258318901062e-05,,1763260519.826571,804.0,8.963133586803451e-05,463.5751791000366,,350720,0.0,3679,0.0038642140571027994,0.0019960347563028336,-0.0009001791477203369
0.00010836124420166016,0.536953866481781,0.00030619557946920395,,1763260520.199787,804.0,8.940092084230855e-05,463.9483950138092,,351104,0.0,3683,1277.6300048828125,0.005989677272737026,-0.002490522339940071
-0.004776716232299805,0.49543726444244385,9.10293310880661e-05,,1763260520.3110187,804.0,8.932411583373323e-05,464.05962681770325,,351232,0.0,3684,0.004075960256159306,-0.0005053840577602386,-0.002162773162126541
,,,500.0,1763260522.771099,,,466.5197072029114,500.0,354018,,3711,,,
-0.08761727809906006,0.5599741339683533,0.00043207965791225433,,1763260522.9904644,806.0,8.755760063650087e-05,466.73907256126404,,354176,0.0,3713,0.00358969415538013,0.0015631336718797684,-0.00011289119720458984
-0.027323603630065918,0.5882858037948608,0.00012812577188014984,,1763260523.2173805,806.0,8.740399061935022e-05,466.96598863601685,,354432,0.0,3715,0.00037752013304270804,0.0011252891272306442,-0.0009425356984138489
,,,500.0,1763260524.6223073,,,468.37091541290283,500.0,356018,,3731,,,
-0.006492495536804199,0.5327613353729248,0.00022939220070838928,,1763260524.9369917,807.0,8.625192276667804e-05,468.68559980392456,,356352,0.0,3734,0.0005347977858036757,-0.0007188916206359863,0.0074139609932899475
,,,500.0,1763260526.8432193,,,470.5918273925781,500.0,358518,,3755,,,
,,,500.0,1763260528.7142391,,,472.4628472328186,500.0,360518,,3775,,,
-0.0164414644241333,0.5763034820556641,3.9033591747283936e-05,,1763260529.1341655,810.0,8.34869424579665e-05,472.8827736377716,,360960,0.0,3779,0.0002868743031285703,0.0005311779677867889,-0.0004893206059932709
,,,500.0,1763260531.4186175,,,475.16722559928894,500.0,363518,,3804,,,
-0.06120944023132324,0.540847897529602,0.001008298248052597,,1763260531.712811,811.0,8.179723226930946e-05,475.4614191055298,,363776,0.0,3807,0.0011990740895271301,0.001542525365948677,-0.006982438266277313
0.05951344966888428,0.5963231325149536,8.031632751226425e-05,,1763260535.4195821,814.0,7.933947927085683e-05,479.16819024086,,367872,0.0,3847,0.0005010576569475234,0.00014178920537233353,0.003315020352602005
-6.031990051269531e-05,0.6256245374679565,0.0001304149627685547,,1763260538.3371,816.0,7.741935405647382e-05,482.0857081413269,,371072,0.0,3879,655.0830688476562,0.001138230785727501,-0.00014168024063110352
