charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,277.6192512512207,137088,545.0,0.003845192724838853,-0.4506559371948242,-0.001109153963625431,-0.0027214428409934044,1546,0.0002178187423851341,,0.5623675584793091,0.0004182690754532814,1763260336.0560863,0.0
,279.06395196914673,138368,547.0,0.00012160850747022778,-0.37985682487487793,0.007906122133135796,0.00044747907668352127,1558,0.0002170506922993809,,0.6075483560562134,0.000987187959253788,1763260337.500787,0.0
500.0,279.10227632522583,138440,,,,,,1559,,500.0,,,1763260337.5391114,
,279.6126596927643,138880,548.0,0.00021247168479021639,-0.8683925867080688,-0.001055944710969925,0.0001741284504532814,1563,0.00021674347226507962,,0.5050377249717712,0.0002815546467900276,1763260338.0494947,0.0
,279.90832710266113,139136,548.0,0.003964988514780998,0.06694120168685913,0.0005515590310096741,0.0007385266944766045,1566,0.00021658986224792898,,0.5552191734313965,0.0003341967239975929,1763260338.3451622,0.0
500.0,283.47535276412964,141440,550.0,243.39903259277344,0.0011768341064453125,-0.004863381385803223,-0.010702100582420826,1588,0.0002152073720935732,500.0,0.5157939195632935,0.0014042342081665993,1763260341.9121878,0.0
,283.6868357658386,141568,550.0,0.005046563223004341,-0.10542333126068115,0.000431891530752182,-0.003854590468108654,1589,0.0002151305670849979,,0.5981118083000183,0.000805397517979145,1763260342.1236708,0.0
500.0,285.02159357070923,142440,,,,,,1597,,500.0,,,1763260343.4584286,
500.0,286.7872700691223,143440,,,,,,1607,,500.0,,,1763260345.2241051,
,287.2286524772644,143616,550.0,0.004516396205872297,0.35332781076431274,-0.010618958622217178,0.00423823669552803,1609,0.00021390168694779277,,0.49215155839920044,0.0012625064700841904,1763260345.6654875,0.001953125
,287.4468147754669,143744,550.0,0.0002504173608031124,-0.1999601125717163,-0.0008746813982725143,-0.0010033398866653442,1610,0.00021382488193921745,,0.5146631002426147,6.123445928096771e-05,1763260345.8836498,0.0
500.0,287.70609641075134,143940,,,,,,1612,,500.0,,,1763260346.1429315,
,289.72356939315796,145408,552.0,0.0001467011170461774,0.0932191014289856,0.0005984194576740265,-0.0044358037412166595,1626,0.00021282641682773829,,0.5649086833000183,0.0004038047045469284,1763260348.1604044,0.0
,291.0893564224243,146560,553.0,407.10845947265625,-9.179115295410156e-06,0.0006291121244430542,0.0028192149475216866,1638,0.0002121351717505604,,0.5827645063400269,0.0001990562304854393,1763260349.5261915,0.0
,298.6443169116974,151552,556.0,0.00011428325524320826,-0.003345489501953125,-0.011164344847202301,-0.011281212791800499,1687,0.00020913979096803814,,0.556052029132843,0.0010525397956371307,1763260357.081152,0.0
500.0,303.62854075431824,156146,,,,,,1732,,500.0,,,1763260362.0653758,
,305.1380524635315,157440,564.0,0.00016481407510582358,0.15922701358795166,0.006135464645922184,0.008461509831249714,1745,0.0002056067605735734,,0.53695148229599,0.00387736689299345,1763260363.5748875,0.0
