_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260531.082174,6.628264236496761e-05,,0.0078125,0.0024061286821961403,470.8517110347748,0.24424470961093903,,389632,41.565399169921875,840.0,4396,0.11254644393920898,-0.0186424870043993,0.016836408525705338
1763260532.712312,,500.0,,,472.4818489551544,,500.0,391520,,,4415,,,
1763260536.284618,6.282642425503582e-05,,0.10546875,0.013475344516336918,476.0541548728943,0.1855059564113617,,395392,0.0008816056069917977,843.0,4456,0.9552888870239258,-0.001955362968146801,-0.044099487364292145
1763260537.544442,6.19815691607073e-05,,0.001953125,0.0012521706521511078,477.31397891044617,0.16903463006019592,,396800,0.0010200999677181244,844.0,4470,0.9983381628990173,-0.0033364295959472656,-0.005189111456274986
1763260538.245668,6.152073910925537e-05,,0.0,0.0013134265318512917,478.0152049064636,0.2750031352043152,,397568,7.810360431671143,844.0,4478,0.04200303554534912,-0.00013084709644317627,0.0011283522471785545
1763260538.4697247,6.136712909210473e-05,,0.072265625,0.01410557609051466,478.23926162719727,0.18878735601902008,,397824,0.0006914264522492886,844.0,4480,0.9974749088287354,-0.031222552061080933,0.03968888893723488
1763260539.5378544,,500.0,,,479.3073914051056,,500.0,399059,,,4492,,,
1763260540.0642996,6.029185897205025e-05,,0.0,0.00026969797909259796,479.83383655548096,0.18204422295093536,,399616,1.8485877513885498,845.0,4498,0.18479430675506592,0.005207613110542297,-0.007147902622818947
1763260542.1360528,5.8909368817694485e-05,,0.0390625,0.00514261145144701,481.90558981895447,0.19879713654518127,,401920,0.002054779324680567,846.0,4520,0.9888712763786316,-0.007012609392404556,-0.009208512492477894
1763260542.2518048,,500.0,,,482.0213418006897,,500.0,402059,,,4522,,,
1763260542.5068367,5.8678953791968524e-05,,0.001953125,0.002755989320576191,482.27637362480164,0.23891666531562805,,402304,0.0017937571974471211,846.0,4524,0.9984923005104065,-0.000997006893157959,-0.011838709935545921
1763260542.6450658,5.8602148783393204e-05,,0.0,0.000437738373875618,482.41460275650024,0.18223802745342255,,402432,0.0006754630012437701,846.0,4525,0.9873456954956055,0.0030170604586601257,-0.00046955421566963196
