losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.001953125,,1763260406.3384502,0.0001890936982817948,4.874076694250107e-05,347.8578951358795,184960,2070,162.3966827392578,0.001934826374053955,575.0,0.5374101400375366,0.0011922409757971764,0.005383957177400589,
0.0,,1763260407.1102211,0.00018870967323891819,0.0017872806638479233,348.6296660900116,185600,2076,0.007898863404989243,-1.5460748672485352,575.0,0.5097955465316772,0.0003314036875963211,-0.0011237114667892456,
,469.0,1763260409.0715537,,,350.59099864959717,187323,2093,,,,,,,469.0
0.0,,1763260409.2130544,0.0001876344031188637,-0.005819348618388176,350.7324993610382,187392,2094,317.23944091796875,0.00016987323760986328,577.0,0.5395821332931519,0.000635804608464241,0.01334400475025177,
0.0,,1763260412.1758733,0.00018632871797308326,-0.00023463740944862366,353.6953182220459,189568,2117,0.008157704025506973,-0.19518303871154785,579.0,0.5831341743469238,9.896233677864075e-06,-2.50181183218956e-05,
0.0,,1763260416.4639332,0.0001848694373620674,-0.0023820707574486732,357.9833781719208,192000,2141,538.2942504882812,0.00018841028213500977,578.0,0.5304388403892517,0.00024125631898641586,0.004750754684209824,
0.0,,1763260417.373232,0.00018456221732776612,0.0060262531042099,358.89267683029175,192512,2146,108.31387329101562,-0.00016105175018310547,578.0,0.48189234733581543,0.0013184715062379837,0.0026058517396450043,
0.0,,1763260417.588353,0.0001844854123191908,0.011964510194957256,359.10779786109924,192640,2147,0.002074015326797962,-0.6792241334915161,578.0,0.5156394243240356,0.0017230985686182976,-0.012013942003250122,
0.0,,1763260417.799963,0.00018440860731061548,-0.005961607210338116,359.3194079399109,192768,2148,0.00040459359297528863,-0.4043087959289551,578.0,0.4895228147506714,3.989133983850479e-05,-0.0005525387823581696,
0.0,,1763260418.93283,0.00018402458226773888,0.00831208098679781,360.4522750377655,193408,2155,83.8102798461914,1.9073486328125e-05,578.0,0.45081034302711487,0.001476074568927288,0.011796511709690094,
0.0,,1763260422.210977,0.0001829493121476844,0.0026195375248789787,363.7304220199585,195200,2172,0.0003172309370711446,-0.08039700984954834,578.0,0.5764076709747314,0.0007724286988377571,-0.0008760318160057068,
0.0,,1763260424.5181632,0.0001821812620619312,-0.0038439109921455383,366.0376081466675,196480,2185,618.377197265625,-0.0001666545867919922,578.0,0.5181872844696045,0.0005367081612348557,0.002214226871728897,
0.0,,1763260425.8639235,0.00018172043201047927,-0.001786726526916027,367.38336849212646,197248,2192,0.0004452376742847264,-1.0746643543243408,578.0,0.5672658681869507,0.0014646099880337715,0.0047974251210689545,
