losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
0.0,0.00041520874947309494,-0.0003886893391609192,0.0024996595457196236,6.252527236938477e-05,1086.0,864.8091430664062,150.08830547332764,0.0002201228926423937,,,1529,133248,0.4321873188018799,1763260235.4426854
0.0,0.0001314561814069748,0.0002174563705921173,0.0014367718249559402,-2.384185791015625e-06,1086.0,606.7730712890625,150.5410418510437,0.00021981567260809243,,,1534,133760,0.4817083179950714,1763260235.8954217
0.0,0.0008117910474538803,-0.005536995828151703,0.008513730019330978,0.22584503889083862,1086.0,0.0008771097636781633,150.76383996009827,0.0002196620625909418,,,1536,134016,0.433599591255188,1763260236.1182199
,,,,,,,151.38319969177246,,500.0,500.0,1543,134721,,1763260236.7375796
0.00390625,0.002703411504626274,-0.00871536135673523,-0.0008259546011686325,-0.4044015407562256,1086.0,0.008374575525522232,151.58445763587952,0.00021912442753091455,,,1545,134912,0.4798908233642578,1763260236.9388375
0.005859375,0.004331890493631363,-0.019366554915905,-0.011113662272691727,-0.09790992736816406,1086.0,7.290486246347427e-05,151.6932773590088,0.00021904762252233922,,,1546,135040,0.5193881392478943,1763260237.0476573
,,,,,,,152.79541420936584,,500.0,500.0,1558,136221,,1763260238.149794
0.0,0.0018384642899036407,-0.026834923774003983,-0.004669444635510445,0.00022345781326293945,1086.0,259.3163757324219,152.89607501029968,0.00021827957243658602,,,1559,136320,0.48829329013824463,1763260238.250455
,,,,,,,153.23482179641724,,500.0,500.0,1563,136721,,1763260238.5892017
0.01171875,0.004938502795994282,-0.028738873079419136,0.0031900154426693916,-0.14811313152313232,1086.0,0.0003473865217529237,153.59725713729858,0.0002178187423851341,,,1566,137088,0.4081653952598572,1763260238.951637
0.001953125,0.0004930458962917328,-0.010979078710079193,-0.0019822847098112106,-1.5974044799804688e-05,1087.0,234.2211151123047,155.55790495872498,0.00021651305723935366,,,1588,139264,0.4693307876586914,1763260240.9122849
0.0,0.0005657598376274109,-0.0016232430934906006,0.016829412430524826,0.3039063811302185,1087.0,0.004997205920517445,155.6690638065338,0.00021643625223077834,,,1589,139392,0.4404985010623932,1763260241.0234437
,,,,,,,156.35625576972961,,500.0,500.0,1597,140221,,1763260241.7106357
,,,,,,,157.2778685092926,,500.0,500.0,1607,141221,,1763260242.6322484
0.0,0.000581434927880764,-0.011952722445130348,0.006526392884552479,-0.11770248413085938,1087.0,0.005585014820098877,157.5190453529358,0.0002152073720935732,,,1609,141440,0.4694564938545227,1763260242.8734252
0.0,0.0015090955421328545,-0.003038490191102028,-0.007541370578110218,0.07207322120666504,1087.0,0.0004529617726802826,157.63244533538818,0.0002151305670849979,,,1610,141568,0.5152148008346558,1763260242.9868252
,,,,,,,157.75284576416016,,500.0,500.0,1612,141721,,1763260243.1072257
,,,,,,,159.04051041603088,,500.0,500.0,1626,143221,,1763260244.3948903
0.0,0.00012864917516708374,-0.0012944042682647705,0.001407671719789505,-0.04290306568145752,1088.0,0.006419997196644545,160.1499421596527,0.00021344085689634085,,,1638,144384,0.5109973549842834,1763260245.504322
0.0,5.6898221373558044e-05,5.7406723499298096e-05,-0.001937931403517723,-0.12186098098754883,1088.0,0.006350720301270485,164.63261008262634,0.00021044546156190336,,,1687,149376,0.5212975740432739,1763260249.98699
0.02734375,0.011000868864357471,0.013907298445701599,0.030512243509292603,-1.982201337814331,1089.0,0.008881598711013794,168.780699968338,0.00020768049580510706,,,1732,153984,0.517176628112793,1763260254.1350799
,,,,,,,169.99099493026733,,500.0,500.0,1745,155353,,1763260255.3453748
0.0,0.0004188930615782738,-0.005556650459766388,-0.0005229795351624489,-0.10013723373413086,1089.0,0.00012169502588221803,170.74232172966003,0.0002063748106593266,,,1753,156160,0.5456475019454956,1763260256.0967016
0.0,0.00029089394956827164,0.006364768370985985,-0.0025048917159438133,-0.28214120864868164,1089.0,0.0002288638788741082,170.85377669334412,0.0002062980056507513,,,1754,156288,0.5064278244972229,1763260256.2081566
,,,,,,,171.79194808006287,,500.0,500.0,1765,157353,,1763260257.146328
