losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
0.0,647.6411743164062,-0.0012987768277525902,1763260332.5266778,,105472,0.0023865308612585068,-0.00021564960479736328,0.39093366265296936,0.00026402901858091354,,241.69770193099976,0.00023678955039940774,1245,494.0
,,,1763260333.625005,500.0,106404,,,,,500.0,242.79602909088135,,1254,
0.0,0.0002032393531408161,0.006905818358063698,1763260336.0160422,,108288,-0.018449384719133377,0.10033160448074341,0.48499107360839844,0.001854080706834793,,245.18706631660461,0.0002350998402107507,1271,499.0
0.0,0.008125362917780876,-0.008541096933186054,1763260339.4833953,,111104,0.005509506911039352,-0.09225094318389893,0.44420284032821655,0.0012722751125693321,,248.65441942214966,0.00023341014457400888,1299,504.0
0.0,0.0010016164742410183,-0.004237632267177105,1763260344.4325557,,115200,-0.007928717881441116,0.009183704853057861,0.5228705406188965,0.0007375990971922874,,253.60357975959778,0.00023095238429959863,1339,512.0
0.001953125,0.00038383749779313803,0.009170914068818092,1763260344.5697749,,115328,-0.0147625133395195,-0.31337714195251465,0.47654905915260315,0.0010854601860046387,,253.7407989501953,0.00023087557929102331,1340,512.0
0.0078125,0.0005889092572033405,-0.00790356658399105,1763260345.6052055,,116224,-0.008159264922142029,-0.2412717342376709,0.46524563431739807,0.0022472161799669266,,254.77622961997986,0.00023033794423099607,1349,513.0
0.01171875,0.007945461198687553,-0.001758691854774952,1763260347.918561,,117632,0.004666097462177277,-0.07401955127716064,0.4653380215167999,0.0015193941071629524,,257.0895850658417,0.00022949308913666755,1363,514.0
0.0,0.00019345671171322465,-0.003965085372328758,1763260348.335515,,117888,0.0002557709813117981,0.1568077802658081,0.532717227935791,7.062964141368866e-05,,257.506539106369,0.0002293394791195169,1365,515.0
0.017578125,0.0004395499126985669,0.023934978991746902,1763260349.1746194,,118400,-0.007549367845058441,0.09028434753417969,0.4267415702342987,0.004104097373783588,,258.3456435203552,0.00022903225908521563,1370,515.0
,,,1763260350.7596824,500.0,119404,,,,,500.0,259.9307065010071,,1380,
0.0,681.56640625,-0.007989030331373215,1763260350.9599543,,119424,-0.0008167214691638947,-3.719329833984375e-05,0.5176412463188171,0.0006645135581493378,,260.130978345871,0.00022841781901661307,1381,515.0
0.0078125,0.0004490853752940893,-0.026237979531288147,1763260352.273771,,120192,-0.004548674449324608,0.011539638042449951,0.48106852173805237,0.004322716034948826,,261.44479513168335,0.00022795698896516114,1388,516.0
,,,1763260353.4242256,500.0,120904,,,,,500.0,262.59524965286255,,1395,
0.0,0.0004289951466489583,0.0023502064868807793,1763260354.2435997,,121344,-0.004059012979269028,-0.10176289081573486,0.5209036469459534,0.0007791956886649132,,263.4146237373352,0.00022726574388798326,1399,516.0
,,,1763260355.1580794,500.0,121904,,,,,500.0,264.32910346984863,,1405,
0.0,0.00023778373724780977,0.007755648344755173,1763260359.4141634,,124800,-0.004076278768479824,-0.06857621669769287,0.4901071786880493,0.000676451250910759,,268.58518743515015,0.00022519200865644962,1432,520.0
,,,1763260359.471982,500.0,124904,,,,,500.0,268.6430060863495,,1433,
0.0,0.00808155257254839,-0.004025663249194622,1763260362.757977,,127104,0.007290728390216827,-0.10806000232696533,0.5351294279098511,0.0007661702111363411,,271.92900109291077,0.00022380951850209385,1455,522.0
0.0,0.0004424559010658413,-0.00523118581622839,1763260362.9126554,,127232,0.0008077807724475861,-0.011681795120239258,0.5382933616638184,0.00019605550915002823,,272.08367943763733,0.00022373271349351853,1456,522.0
0.0,0.00022043335775379092,-0.0026481933891773224,1763260363.054021,,127360,0.0006788969039916992,0.002774953842163086,0.5758463740348816,0.0005194563418626785,,272.225044965744,0.0002236559084849432,1457,522.0
0.0,0.006795145571231842,-0.013968256302177906,1763260370.0044792,,133120,-0.001734517514705658,-0.00915062427520752,0.5452643632888794,0.0017030397430062294,,279.17550325393677,0.00022019969765096903,1514,531.0
0.0,0.0002091399219352752,-0.002817451022565365,1763260371.2175815,,133888,-0.0034016668796539307,-0.20246517658233643,0.5388116836547852,0.0004186732694506645,,280.388605594635,0.0002197388675995171,1521,531.0
0.02734375,0.00031515758018940687,-0.005779372528195381,1763260371.916866,,134272,-0.0006992658600211143,-0.2609802484512329,0.5370855331420898,0.007651824504137039,,281.08789014816284,0.00021950845257379115,1525,531.0
,,,1763260372.1740375,500.0,134404,,,,,500.0,281.34506154060364,,1527,
0.0,0.001045935321599245,-0.0011514732614159584,1763260372.5737598,,134656,-0.0012985989451408386,-0.0030030012130737305,0.5597928762435913,0.00015558023005723953,,281.7447838783264,0.00021927803754806519,1529,531.0
0.0,0.00036245767842046916,-0.00018941424787044525,1763260373.395388,,135168,-0.0006501451134681702,0.038390159606933594,0.522518515586853,0.0008663870394229889,,282.5664119720459,0.0002189708175137639,1534,532.0
,,,1763260373.6743562,500.0,135404,,,,,500.0,282.8453803062439,,1536,
0.01171875,0.005026533734053373,0.015377812087535858,1763260374.983203,,136064,-0.037795864045619965,0.163837730884552,0.525322675704956,0.004849943332374096,,284.1542270183563,0.00021843318245373666,1543,532.0
0.0,0.00011238119623158127,0.002788151614367962,1763260375.3970714,,136320,-0.003014499321579933,0.033543527126312256,0.5247241854667664,0.00031595025211572647,,284.56809544563293,0.00021827957243658602,1545,532.0
,,,1763260375.449736,500.0,136404,,,,,500.0,284.62076020240784,,1546,
0.0,0.005117105785757303,0.0010975608602166176,1763260377.1961122,,137600,-0.0004953444004058838,-0.005968928337097168,0.5547064542770386,2.155359834432602e-05,,286.3671362400055,0.00021751152235083282,1558,533.0
0.0,0.0005651271203532815,-0.005637803114950657,1763260377.327919,,137728,-0.011494848877191544,0.1453118920326233,0.5358929634094238,0.0011047935113310814,,286.49894309043884,0.0002174347173422575,1559,534.0
0.0,0.005952075589448214,-0.0013430630788207054,1763260377.773351,,138112,0.014571510255336761,-0.21517455577850342,0.5091806650161743,0.0010711709037423134,,286.944375038147,0.00021720430231653154,1563,534.0
,,,1763260378.0803075,500.0,138404,,,,,500.0,287.2513315677643,,1566,
0.0,0.00019145745318382978,-0.009811194613575935,1763260380.9920406,,140800,-0.010563820600509644,0.11391037702560425,0.4619547426700592,0.001553824171423912,,290.16306471824646,0.00021559139713644981,1588,538.0
,,,1763260381.0535464,500.0,140904,,,,,500.0,290.2245705127716,,1589,
0.0078125,0.0004361948522273451,-0.016984112560749054,1763260382.601025,,141696,-0.0057078078389167786,-0.20769476890563965,0.5127779841423035,0.0028986604884266853,,291.7720491886139,0.00021505376207642257,1597,538.0
0.0,0.000505576201248914,-0.0023133615031838417,1763260384.36916,,142720,-0.010044578462839127,0.006907105445861816,0.5852860808372498,0.003913833759725094,,293.5401840209961,0.00021443932200782,1607,538.0
,,,1763260384.6257427,500.0,142904,,,,,500.0,293.7967667579651,,1609,
0.0,237.2685089111328,-0.002190602943301201,1763260384.8447318,,142976,0.006251385435461998,1.633167266845703e-05,0.5508221387863159,0.00018949806690216064,,294.0157558917999,0.00021428571199066937,1610,538.0
0.0,0.00045060086995363235,0.004753706976771355,1763260385.2266006,,143232,-0.005326688289642334,-0.04146075248718262,0.5775754451751709,0.0028837900608778,,294.39762473106384,0.00021413210197351873,1612,538.0
0.0234375,0.001726746093481779,-0.024831397458910942,1763260387.0078547,,144512,-0.040886469185352325,-0.29732275009155273,0.6232048869132996,0.00558728352189064,,296.1788787841797,0.00021336405188776553,1626,540.0
0.0,476.248291015625,-0.0010916050523519516,1763260388.3211505,,145664,-0.004696875810623169,0.0002117753028869629,0.5583318471908569,0.0005579479038715363,,297.49217462539673,0.00021267280681058764,1638,541.0
0.0,450.0220947265625,0.0023521650582551956,1763260393.8578746,,150656,0.0037287622690200806,-1.5139579772949219e-05,0.5795714259147644,0.00015218928456306458,,303.0288987159729,0.00020967742602806538,1687,548.0
0.0,0.006877661217004061,0.0041922396048903465,1763260400.168863,,155264,-0.021146520972251892,-0.02644181251525879,0.5274993181228638,0.0021047694608569145,,309.3398871421814,0.00020691244571935385,1732,553.0
,,,1763260402.1804411,500.0,156594,,,,,500.0,311.3514652252197,,1745,
0.0,0.00037201124359853566,-0.00733177550137043,1763260403.7463834,,157440,-0.0029511861503124237,-0.6846227645874023,0.5156078934669495,8.596852421760559e-05,,312.9174075126648,0.0002056067605735734,1753,553.0
0.0,0.00020510595641098917,-0.0033254530280828476,1763260403.9502742,,157568,-0.02515811286866665,0.24470973014831543,0.5278637409210205,0.0023219678550958633,,313.12129831314087,0.0002055299555649981,1754,553.0
,,,1763260405.7177255,500.0,158594,,,,,500.0,314.8887495994568,,1765,
