losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
,129995,,,500.0,,1763260237.2878468,500.0,,,2034,,,177.0180208683014,
0.06640625,131072,-0.034647658467292786,0.0010074889287352562,,0.025398846715688705,1763260239.0993981,,-8.594989776611328e-05,0.5353219509124756,2045,0.00022142857778817415,0.254687637090683,178.82957220077515,775.0
0.0,131712,-0.0018226616084575653,0.004096354357898235,,0.000294744037091732,1763260240.0524285,,-0.01694512367248535,0.0014057101216167212,2051,0.00022104455274529755,0.24142275750637054,179.78260254859924,775.0
0.00390625,131840,0.004312105476856232,0.021764926612377167,,0.001497712917625904,1763260240.2183952,,-0.004965782165527344,0.0001281523291254416,2052,0.00022096774773672223,0.2212367057800293,179.94856929779053,775.0
0.03125,133632,0.0003390088677406311,-0.005855899304151535,,0.005415244027972221,1763260242.8316388,,0.1948224902153015,0.001149297459051013,2070,0.00021989247761666775,0.18407243490219116,182.56181287765503,773.0
0.01953125,134272,-0.010981770232319832,0.025775086134672165,,0.010165228508412838,1763260243.7717955,,-0.006458640098571777,0.00016290768689941615,2076,0.00021950845257379115,0.202914759516716,183.50196957588196,773.0
,135995,,,500.0,,1763260246.267813,500.0,,,2093,,,185.99798703193665,
0.013671875,136064,-0.0002834443002939224,0.003712911158800125,,0.0017719324678182602,1763260246.4351,,-5.829334259033203e-05,3.4647371768951416,2094,0.00021843318245373666,0.20925378799438477,186.165274143219,771.0
0.091796875,138368,0.006875224411487579,-0.014183072373270988,,0.016537977382540703,1763260249.8731327,,0.003931701183319092,7.769011972413864e-06,2117,0.0002170506922993809,0.27403321862220764,189.6033067703247,769.0
0.041015625,141312,-0.03248601406812668,0.02067219279706478,,0.004405757412314415,1763260254.2361927,,-0.010671734809875488,3.652931991382502e-05,2146,0.00021528417710214853,0.18903285264968872,193.9663667678833,767.0
,141512,,,500.0,,1763260254.461824,500.0,,,2148,,,194.19199800491333,
0.1015625,142208,0.0011163502931594849,0.015806302428245544,,0.01118322741240263,1763260255.5769928,,-0.005504131317138672,0.0011507574236020446,2155,0.0002147465420421213,0.2153724730014801,195.30716681480408,766.0
0.091796875,144000,-0.0014474689960479736,-0.0026931213214993477,,0.0015147430822253227,1763260258.15792,,-0.007007718086242676,3.3639018511166796e-05,2172,0.0002136712719220668,0.1994124948978424,197.88809394836426,765.0
0.1432291716337204,145408,0.017024699598550797,-2.0466744899749756e-05,,0.04342598468065262,1763260260.2032015,,-0.001233220100402832,0.00024767775903455913,2185,0.00021282641682773829,0.21450893580913544,199.93337559700012,765.0
0.099609375,146048,-0.022109992802143097,0.009886213578283787,,0.02080785483121872,1763260261.1437764,,-1.5974044799804688e-05,0.6224902868270874,2192,0.00021244239178486168,0.2898426055908203,200.8739504814148,764.0
