global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
125440,0.01578308641910553,-0.00021910667419433594,1763260201.346347,148.4422881603241,0.0,0.00022480798361357301,,-0.007303670980036259,1025.0,0.0014924677088856697,145.0614776611328,,1457,0.54953932762146
131328,-0.005267258733510971,-0.17111170291900635,1763260206.7141054,153.81004643440247,0.0,0.0002212749677710235,,-0.0067168958485126495,1028.0,0.0015476830303668976,0.00013490795390680432,,1514,0.4985887110233307
131968,0.003758581355214119,1.3113021850585938e-05,1763260207.279895,154.3758361339569,0.0,0.0002208909427281469,,-0.004746302962303162,1028.0,0.0006758011877536774,113.73987579345703,,1521,0.5138728618621826
132352,-0.0026485957205295563,1.8894672393798828e-05,1763260207.6536138,154.74955487251282,0.0,0.00022066052770242095,,0.0011379197239875793,1028.0,0.0001434069126844406,310.6936340332031,,1525,0.5738366842269897
132608,-0.01825609803199768,0.010247230529785156,1763260207.8758488,154.97178983688354,0.001953125,0.0002205069176852703,,0.0026130154728889465,1028.0,0.0007714070379734039,0.0002754090237431228,,1527,0.531319797039032
132843,,,1763260208.0221443,155.1180853843689,,,500.0,,,,,500.0,1529,
133343,,,1763260208.5036213,155.59956240653992,,,500.0,,,,,500.0,1534,
133504,-0.007063295692205429,0.020060718059539795,1763260208.7028375,155.79877853393555,0.0,0.00021996928262524307,,-0.003373510204255581,1029.0,0.0006263600662350655,0.006851214449852705,,1536,0.48484572768211365
134272,-0.0040469057857990265,-0.3050028085708618,1763260209.3777976,156.47373867034912,0.0,0.00021950845257379115,,0.0007038433104753494,1029.0,0.0009673498570919037,0.00022854015696793795,,1543,0.5130232572555542
134400,-0.006274443119764328,0.000244140625,1763260209.5176313,156.61357235908508,0.0,0.00021943164756521583,,0.0003348495811223984,1029.0,0.0018293634057044983,101.78779602050781,,1545,0.4931318759918213
134528,-0.00913432240486145,-0.17851006984710693,1763260209.6412132,156.7371542453766,0.0,0.0002193548425566405,,0.0021874243393540382,1029.0,0.0004803156480193138,0.0051694512367248535,,1546,0.5343047380447388
135808,0.0016249362379312515,0.12259304523468018,1763260210.8644156,157.9603567123413,0.0,0.0002185867924708873,,0.0035226820036768913,1029.0,0.0005417419597506523,9.726760617922992e-05,,1558,0.5339847803115845
135843,,,1763260210.8781831,157.97412419319153,,,500.0,,,,,500.0,1559,
136320,0.003964824602007866,-0.3443554639816284,1763260211.3154762,158.41141724586487,0.021484375,0.00021827957243658602,,-0.001721952110528946,1030.0,0.008403308689594269,0.00010813326662173495,,1563,0.5570293664932251
136576,0.005114265717566013,-0.11059236526489258,1763260211.540793,158.63673400878906,0.0,0.00021812596241943538,,-0.00950681883841753,1030.0,0.00045336876064538956,0.004668742418289185,,1566,0.5529362559318542
138843,,,1763260213.558738,160.6546790599823,,,500.0,,,,,500.0,1588,
138880,-0.0010911822319030762,-0.00010919570922851562,1763260213.6435833,160.73952436447144,0.0,0.00021674347226507962,,0.0013152314350008965,1031.0,3.1682662665843964e-05,176.61048889160156,,1589,0.543424129486084
139776,0.0006848648190498352,-0.033847689628601074,1763260214.4658062,161.56174731254578,0.0,0.00021620583720505238,,0.00020757969468832016,1031.0,3.752298653125763e-06,9.005350875668228e-05,,1597,0.5381165146827698
140800,0.0029583610594272614,-0.2481997013092041,1763260215.4098682,162.5058093070984,0.009765625,0.00021559139713644981,,-0.010858764871954918,1032.0,0.002546807751059532,0.00012012005026917905,,1607,0.5232372283935547
140928,0.00305243581533432,-0.00017344951629638672,1763260215.5241969,162.62013792991638,0.0,0.0002155145921278745,,0.0023230277001857758,1032.0,0.00031597353518009186,234.2222900390625,,1609,0.528581440448761
141056,-0.004657074809074402,-0.0493316650390625,1763260215.6354597,162.7314007282257,0.0,0.00021543778711929917,,0.003040676936507225,1032.0,0.0008564535528421402,0.004151043947786093,,1610,0.5777305364608765
141312,-0.0036897771060466766,0.10344511270523071,1763260215.858981,162.9549219608307,0.0,0.00021528417710214853,,0.004985597915947437,1032.0,0.00020526815205812454,9.104316268349066e-05,,1612,0.5517382621765137
142720,-0.0032731182873249054,-0.11846411228179932,1763260217.2009573,164.29689836502075,0.0,0.00021443932200782,,-0.00513920933008194,1032.0,0.00025081075727939606,0.00026673346292227507,,1626,0.5460575819015503
143872,-0.010189607739448547,-0.00011110305786132812,1763260218.2718506,165.36779165267944,0.0,0.00021374807693064213,,0.00453760102391243,1032.0,0.0009219292551279068,480.21588134765625,,1638,0.5355656743049622
148864,0.0034844428300857544,3.8564205169677734e-05,1763260222.8144515,169.9103925228119,0.0,0.00021075268159620464,,0.004061732441186905,1034.0,0.0007252413779497147,208.61062622070312,,1687,0.49837857484817505
153472,-0.01684039831161499,0.05920976400375366,1763260227.0282876,174.1242287158966,0.001953125,0.00020798771583940834,,0.005086876451969147,1036.0,0.001689910888671875,0.0001771418610587716,,1732,0.6114745736122131
154694,,,1763260228.099553,175.19549417495728,,,500.0,,,,,500.0,1745,
155520,-0.0002790447324514389,-0.17907631397247314,1763260228.9020402,175.99798130989075,0.0,0.00020675883570220321,,0.0031936410814523697,1037.0,0.00038625672459602356,0.00021261852816678584,,1753,0.5523192286491394
155648,-0.004735641181468964,-0.025484204292297363,1763260229.0139215,176.10986256599426,0.0,0.0002066820306936279,,0.0009709307923913002,1037.0,0.0003109043464064598,0.00010589105659164488,,1754,0.5572354197502136
156672,0.008678525686264038,-0.46023690700531006,1763260229.9548986,177.05083966255188,0.0078125,0.00020606759062502533,,0.010691913776099682,1037.0,0.004860828630626202,0.00026927870931103826,,1765,0.464272677898407
156928,-0.010150045156478882,-0.06056833267211914,1763260230.1809044,177.27684545516968,0.015625,0.0002059139806078747,,0.048870861530303955,1037.0,0.007576003670692444,0.005527285393327475,,1768,0.4726301431655884
