losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
0.01739848405122757,,2225,0.0002358678902965039,,1763260117.6152244,0.16396139562129974,-0.0002040863037109375,-0.01739276386797428,106.67468428611755,107008,0.004863077774643898,0.003856850555166602,1030.0,0.04296875
-0.0033839214593172073,,2226,0.00023579108528792858,,1763260117.7276115,0.1198711097240448,0.44838374853134155,0.006925743073225021,106.78707146644592,107136,0.00047144293785095215,0.0006537115550599992,1030.0,0.005859375
0.013554736971855164,,2227,0.00023571428027935326,,1763260117.8369896,0.22338800132274628,0.29006367921829224,-0.026044368743896484,106.89644956588745,107264,0.003184692934155464,3.959683090215549e-05,1030.0,0.03125
-0.0029636938124895096,,2235,0.00023525345022790134,,1763260118.5457323,0.21745339035987854,0.43013763427734375,-0.0022475048899650574,107.60519218444824,108032,0.002597285434603691,8.951802010415122e-05,1030.0,0.0078125
0.0017228974029421806,,2241,0.00023486942518502474,,1763260119.1002543,0.21339362859725952,0.028901219367980957,0.002008780837059021,108.15971422195435,108672,0.0024783695116639137,3.2671097869751975e-05,1031.0,0.017578125
,482.0,2248,,482.0,1763260119.7074344,,,,108.76689434051514,109339,,,,
0.02202492393553257,,2250,0.0002343317901249975,,1763260119.921512,0.16375453770160675,0.19067955017089844,-0.0243796706199646,108.9809718132019,109568,0.006105056032538414,0.0003552529960870743,1031.0,0.025390625
,500.0,2253,,500.0,1763260120.1506286,,,,109.21008849143982,109839,,,,
,500.0,2272,,500.0,1763260121.9230983,,,,110.98255825042725,111809,,,,
-0.01567966490983963,,2280,0.00023248848447110504,,1763260122.7237346,0.1534849852323532,0.24636811017990112,0.02005196176469326,111.78319454193115,112640,0.0022018058225512505,1.126810002460843e-05,1033.0,0.01171875
0.0037425514310598373,,2295,0.0002315668243682012,,1763260124.0671294,0.22340744733810425,0.449675977230072,-0.005313415080308914,113.12658929824829,114176,0.00026500411331653595,1.0850715625565499e-05,1034.0,0.0625
0.02444835938513279,,2298,0.00023141321435105056,,1763260124.293059,0.27338075637817383,0.6541007161140442,-0.005949243903160095,113.35251903533936,114432,0.005267326720058918,0.00041154614882543683,1035.0,0.0078125
0.06487839668989182,,2310,0.00023064516426529735,,1763260125.4437203,0.2817421555519104,0.6572956442832947,-0.048723362386226654,114.50318026542664,115712,0.011587127111852169,2.9571037885034457e-06,1035.0,0.125
0.015474986284971237,,2312,0.00023056835925672203,,1763260125.5866725,0.21642763912677765,-0.00013518333435058594,0.007401041686534882,114.64613246917725,115840,0.004034110344946384,0.0032097408547997475,1035.0,0.044921875
-0.028677091002464294,,2318,0.00023018433421384543,,1763260126.1513436,0.1604168564081192,0.12629371881484985,0.051852110773324966,115.21080350875854,116480,0.004477757960557938,4.896128302789293e-07,1036.0,0.0234375
