losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
0.0005387701094150543,0.0,0.032347798347473145,,0.00025241123512387276,0.0002225038333563134,1514,129280,0.5650185346603394,0.009519882500171661,1763260372.7361753,,282.4842083454132,510.0,-0.00045468471944332123
0.0007809251546859741,0.00390625,-0.00013172626495361328,,358.0769348144531,0.00022211982286535203,1521,129920,0.535366415977478,0.001523531973361969,1763260373.896526,,283.64455914497375,510.0,0.009217487648129463
,,,500.0,,,1525,130388,,,1763260374.6013923,500.0,284.34942531585693,,
7.620546966791153e-05,0.0,-0.16839861869812012,,0.008511805906891823,0.00022173579782247543,1527,130560,0.5036555528640747,-0.0022070324048399925,1763260375.0486374,,284.79667043685913,510.0,-0.004339457489550114
0.0003948388621211052,0.0,-0.16640257835388184,,0.0001568542211316526,0.0002215821878053248,1529,130816,0.5750002264976501,0.0007646512240171432,1763260375.5035944,,285.25162744522095,510.0,-0.0022227419540286064
0.0022514965385198593,0.01953125,-0.1670321226119995,,0.0001589520979905501,0.0002212749677710235,1534,131328,0.4443782567977905,-0.0005032382905483246,1763260376.4181967,,286.16622972488403,511.0,-0.006348786875605583
8.394848555326462e-05,0.0,-0.00021255016326904297,,408.1288757324219,0.0002211981627624482,1536,131456,0.5214565396308899,-0.0009028501808643341,1763260376.6379457,,286.38597869873047,511.0,-0.00037668365985155106
0.0011639650911092758,0.0,-0.21750175952911377,,0.0005702322232536972,0.00022073733271099627,1543,132224,0.500728189945221,-0.008043654263019562,1763260377.509015,,287.2570481300354,512.0,0.0205704178661108
,,,500.0,,,1545,132388,,,1763260377.6904712,500.0,287.4385042190552,,
0.0002515409141778946,0.0,4.1961669921875e-05,,390.6421203613281,0.00022058372269384563,1546,132480,0.5026854872703552,0.006266633048653603,1763260377.8490028,,287.5970358848572,512.0,0.0023381318897008896
0.006033753976225853,0.00390625,-0.03528189659118652,,0.0003276808129157871,0.00021981567260809243,1558,133760,0.49957239627838135,0.03392833098769188,1763260379.335524,,289.08355712890625,514.0,0.02681075409054756
0.0006945785135030746,0.0,0.00030112266540527344,500.0,471.98858642578125,0.0002197388675995171,1559,133888,0.5363035202026367,-0.00886831060051918,1763260379.4946592,500.0,289.24269223213196,514.0,0.003172926604747772
,,,500.0,,,1563,134388,,,1763260379.9925075,500.0,289.74054050445557,,
4.3655745685100555e-05,0.0,-0.15191173553466797,,0.00020339523325674236,0.00021927803754806519,1566,134656,0.5174625515937805,-0.001383008435368538,1763260380.3766391,,290.12467217445374,516.0,-0.0017957771196961403
,,,500.0,,,1588,136888,,,1763260384.304525,500.0,294.05255794525146,,
0.0008250987157225609,0.0,0.000664055347442627,,671.0747680664062,0.00021789554739370942,1589,136960,0.42030850052833557,0.0029770899564027786,1763260384.5029013,,294.2509343624115,516.0,0.008083480410277843
0.0008553965017199516,0.0,-0.02567756175994873,,0.00020145703456364572,0.00021735791233368218,1597,137856,0.5325555205345154,-0.0014446303248405457,1763260386.0381567,,295.7861897945404,517.0,0.011202565394341946
0.0007479451596736908,0.0,-0.2427595853805542,,0.0002140341530321166,0.00021674347226507962,1607,138880,0.5321260690689087,-0.009378418326377869,1763260387.216497,,296.9645299911499,518.0,0.002308892086148262
0.001116638071835041,0.0,-0.0002092123031616211,,319.3328552246094,0.0002166666672565043,1609,139008,0.5752445459365845,0.010156020522117615,1763260387.3997328,,297.14776587486267,518.0,0.018114764243364334
0.0017798468470573425,0.001953125,-0.12602710723876953,,0.006457869429141283,0.00021658986224792898,1610,139136,0.49626627564430237,0.003967177122831345,1763260387.5288687,,297.27690172195435,518.0,-0.015208408236503601
,,,500.0,,,1612,139388,,,1763260387.7215586,500.0,297.46959161758423,,
0.0005719233304262161,0.0,-0.26813066005706787,,0.000390695029636845,0.00021559139713644981,1626,140800,0.5292307138442993,3.9130449295043945e-05,1763260389.4849467,,299.2329797744751,521.0,0.012507958337664604
2.1151266992092133e-05,0.0,-0.00030231475830078125,,390.3255920410156,0.00021490015205927193,1638,141952,0.5192633867263794,9.043887257575989e-05,1763260390.7971013,,300.545134305954,523.0,-0.0027383333072066307
6.220024079084396e-05,0.0,-0.0003056526184082031,,490.1779479980469,0.00021190475672483444,1687,146944,0.4718492925167084,-0.0015871264040470123,1763260397.5638726,,307.3119056224823,528.0,-0.0008043209090828896
,,,500.0,,,1732,151517,,,1763260404.2127852,500.0,313.96081829071045,,
