charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
,500.0,599.8956797122955,1763260690.8484697,,417046,,,,,,,500.0,,4366
4.9462367314845324e-05,,600.5082068443298,1763260691.4609969,-1.7762184143066406e-05,417664,0.0,1.9161030650138855e-05,408.567626953125,0.5182901620864868,-0.0005359891802072525,-0.0008337683975696564,,730.0,4372
4.915514728054404e-05,,600.9724566936493,1763260691.9252467,-3.2278590202331543,418176,0.0,7.425062358379364e-05,0.004301575478166342,0.5605740547180176,-0.003879321739077568,-0.005423247814178467,,730.0,4377
4.907834227196872e-05,,601.0824375152588,1763260692.0352275,0.20655328035354614,418304,0.0,0.00010141357779502869,0.0009889998473227024,0.5925312042236328,-9.768828749656677e-05,-0.0015869103372097015,,730.0,4378
4.854070721194148e-05,,601.9250683784485,1763260692.8778584,0.31384027004241943,419200,0.0,2.551823854446411e-06,0.0025341957807540894,0.5269052982330322,4.493445158004761e-05,-0.00043037906289100647,,731.0,4387
4.800307215191424e-05,,602.8043529987335,1763260693.757143,-7.891654968261719e-05,420096,0.0,6.611458957195282e-06,575.6131591796875,0.4875051975250244,-0.00031460169702768326,2.4102628231048584e-06,,731.0,4396
4.6927802031859756e-05,,604.4753262996674,1763260695.4281163,-0.3587237596511841,421888,0.0,6.599631160497665e-05,0.0008592851227149367,0.5596916079521179,-0.0034712450578808784,-0.002226073294878006,,732.0,4413
,500.0,604.598833322525,1763260695.5516233,,422046,,,,,,,500.0,,4415
4.4316435378277674e-05,,608.4446513652802,1763260699.3974414,-0.019692301750183105,426240,0.0,1.8671154975891113e-05,0.002149897860363126,0.5638175010681152,-0.0007265899330377579,-0.0010455027222633362,,734.0,4456
4.347158392192796e-05,,609.717059135437,1763260700.6698492,0.000133514404296875,427648,0.0,1.527555286884308e-05,160.41209411621094,0.568534791469574,-0.0004996396601200104,0.0003243200480937958,,735.0,4470
4.293394886190072e-05,,610.5307273864746,1763260701.4835174,-0.31346023082733154,428544,0.0,2.9970891773700714e-05,0.000661982165183872,0.5798651576042175,0.0011186851188540459,-0.0010275952517986298,,736.0,4478
4.28571438533254e-05,,610.645715713501,1763260701.5985057,-7.3909759521484375e-06,428672,0.0,2.0023435354232788e-05,0.0012117414735257626,0.5272120833396912,-0.0006664656102657318,0.0003923475742340088,,736.0,4480
4.2089093767572194e-05,,611.798024892807,1763260702.750815,-0.18115758895874023,429952,0.0,0.00013016536831855774,0.0005753792938776314,0.5647644400596619,-0.006338015198707581,-0.005031796637922525,,737.0,4492
4.1858678741846234e-05,,612.169840335846,1763260703.1226304,0.42656588554382324,430336,0.0,7.3248520493507385e-06,0.0008118978003039956,0.5818732976913452,0.00109893549233675,-0.0007101092487573624,,737.0,4496
,500.0,612.3118629455566,1763260703.264653,,430546,,,,,,,500.0,,4498
4.0399387216893956e-05,,614.3798570632935,1763260705.332647,-0.18001925945281982,432768,0.0,4.99580055475235e-05,0.0025260448455810547,0.5142679214477539,0.0016493182629346848,-0.0033132098615169525,,738.0,4520
4.0245777199743316e-05,,614.5992138385773,1763260705.5520039,-0.15832185745239258,433024,0.0,9.727757424116135e-05,0.0006196604808792472,0.5295551419258118,0.0037189414724707603,0.0011730045080184937,,738.0,4522
4.0168972191167995e-05,,614.7157027721405,1763260705.6684928,0.00021141767501831055,433152,0.0,2.4759210646152496e-05,202.32516479492188,0.5621371269226074,-0.00041231047362089157,0.002034693956375122,,738.0,4524
4.0092167182592675e-05,,614.8265044689178,1763260705.7792945,0.22971796989440918,433280,0.0,1.3791956007480621e-05,0.0022270330227911472,0.5727179646492004,-0.0008884510025382042,-0.0010671205818653107,,738.0,4525
3.9938557165442035e-05,,615.0486738681793,1763260706.001464,-0.08670914173126221,433536,0.0,6.77919015288353e-05,0.0006557499291375279,0.5867632627487183,-0.004545568488538265,-0.0024121850728988647,,739.0,4527
3.9708142139716074e-05,,615.4187805652618,1763260706.3715706,-0.0030690431594848633,433920,0.0,3.875512629747391e-05,0.001018813345581293,0.5255415439605713,0.0037199566140770912,-0.00018831714987754822,,739.0,4531
