losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
0.007323236670345068,-0.016124149784445763,0.003086833283305168,286.3918206691742,,0.00021889401250518858,524.0,,0.5498083829879761,1763260377.3970146,135296,0.009765625,1543,-0.011493107303977013,-0.1184685230255127
0.0006194163579493761,-0.0073795011267066,0.0013384269550442696,286.6339454650879,,0.00021874040248803794,524.0,,0.47449570894241333,1763260377.6391394,135552,0.005859375,1545,-0.003655228763818741,-0.747580885887146
,,,286.66431283950806,500.0,,,500.0,,1763260377.6695068,135565,,1546,,
0.00034318765392526984,0.004673118703067303,0.00021270941942930222,288.08882570266724,,0.00021797235240228474,526.0,,0.5223364233970642,1763260379.0940197,136832,0.0,1558,-0.0010968446731567383,0.06110924482345581
0.00019928121764678508,-0.003913314081728458,0.0001672273501753807,288.23365330696106,,0.00021789554739370942,527.0,,0.554350733757019,1763260379.2388473,136960,0.0,1559,-0.00603899359703064,-0.2585211992263794
0.000425713078584522,-0.0021726563572883606,0.0023249275982379913,288.6802718639374,,0.00021766513236798346,527.0,,0.5855820178985596,1763260379.6854658,137344,0.0078125,1563,-0.018186088651418686,-0.22081267833709717
694.9083251953125,-0.003872182220220566,0.001349443569779396,288.9809784889221,,0.00021751152235083282,528.0,,0.5282505750656128,1763260379.9861724,137600,0.00390625,1566,-0.004250004887580872,-5.066394805908203e-05
0.0008053251658566296,0.01078473124653101,0.0014404570683836937,292.77862310409546,,0.00021612903219647706,529.0,,0.530872106552124,1763260383.783817,139904,0.005859375,1588,-0.00636754184961319,-0.046218156814575195
0.000249881180934608,-0.007720049470663071,0.003604598343372345,292.9933180809021,,0.00021605222718790174,529.0,,0.5076801180839539,1763260383.998512,140032,0.0,1589,-0.002754582092165947,-2.5602924823760986
0.005960666108876467,0.0010172761976718903,0.0013151858001947403,294.35182213783264,,0.00021559139713644981,529.0,,0.5553008317947388,1763260385.357016,140800,0.0,1597,-0.007927045226097107,0.07424509525299072
0.0007325121550820768,-0.011720662005245686,0.0018403669819235802,295.7162435054779,,0.00021497695706784725,530.0,,0.5314367413520813,1763260386.7214375,141824,0.00390625,1607,-0.004285186529159546,-0.1290508508682251
,,,295.88367080688477,500.0,,,500.0,,1763260386.8888648,142065,,1609,,
275.7922668457031,-0.00021666847169399261,0.00023492425680160522,295.99206733703613,,0.0002148233470506966,531.0,,0.583096444606781,1763260386.9972613,142080,0.0,1610,-0.0027363598346710205,3.1948089599609375e-05
,,,296.1712281703949,230.0,,,230.0,,1763260387.176422,142295,,1612,,
0.00011024596460629255,-0.001935882493853569,0.0008604526519775391,297.8459393978119,,0.00021382488193921745,533.0,,0.5411871075630188,1763260388.8511333,143744,0.0,1626,-0.0018674042075872421,-0.06480991840362549
63.21259689331055,0.004309248179197311,0.00019790418446063995,299.1609380245209,,0.00021313363686203957,535.0,,0.6073783040046692,1763260390.166132,144896,0.0,1638,-0.0002340860664844513,-5.5909156799316406e-05
805.7003784179688,-0.0016583902761340141,0.0007377201691269875,305.12785935401917,,0.0002101382560795173,541.0,,0.48425033688545227,1763260396.1330533,149888,0.0,1687,-0.00580984354019165,4.1544437408447266e-05
0.004206565208733082,-2.9598362743854523e-05,0.0012141941115260124,311.5469923019409,,0.00020737327577080578,545.0,,0.5568753480911255,1763260402.5521863,154496,0.0,1732,-0.00723777711391449,-0.04555070400238037
,,,313.8392689228058,500.0,,,500.0,,1763260404.8444629,155795,,1745,,
0.0005212983232922852,0.0003046467900276184,0.0007944665849208832,315.3682396411896,,0.00020606759062502533,546.0,,0.5808631181716919,1763260406.3734336,156672,0.0,1753,-0.0073342472314834595,-0.0651087760925293
,,,315.4153378009796,500.0,,,500.0,,1763260406.4205317,156795,,1754,,
396.4415283203125,0.0029466357082128525,0.00012127496302127838,317.276606798172,,0.00020537634554784745,546.0,,0.5633484125137329,1763260408.2818007,157824,0.0,1765,0.0004419079050421715,5.984306335449219e-05
0.00039536296389997005,0.015487484633922577,0.004192243330180645,317.68417978286743,,0.0002051459305221215,546.0,,0.5300818681716919,1763260408.6893737,158208,0.009765625,1768,-0.01073920726776123,-0.14850854873657227
0.0005047236336395144,-0.006910338066518307,0.0010941056534647942,318.680704832077,,0.00020460829546209425,548.0,,0.5391322374343872,1763260409.6858988,159104,0.00390625,1777,-0.00918683409690857,-0.13835453987121582
,,,324.215695142746,500.0,,,500.0,,1763260415.220889,163295,,1818,,
,,,324.755832195282,500.0,,,500.0,,1763260415.7610261,163795,,1823,,
0.0005449305172078311,-0.0005339523777365685,0.0010398877784609795,328.00404691696167,,0.00020007679995615035,556.0,,0.5765280723571777,1763260419.0092409,166656,0.0,1851,0.015338368713855743,-0.012581229209899902
