charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.0002319508494110778,-4.111031532287598,674.0,0.002617770805954933,,1763260281.1510496,,0.47834670543670654,202.6069495677948,0.0014696866273880005,113536,1340,0.017308983951807022,0.0,0.0006750877946615219
0.00023141321435105056,0.008319497108459473,675.0,0.001063307747244835,,1763260282.2585888,,0.3699975311756134,203.71448874473572,-0.004041053354740143,114432,1349,942.4771728515625,0.0,0.00015979260206222534
0.00023064516426529735,0.2379211187362671,677.0,-0.0004371674731373787,,1763260283.7959404,,0.3923395872116089,205.25184035301208,0.0009114118292927742,115712,1363,1400.38818359375,0.0,0.000197715125977993
,,,,201.0,1763260283.9410086,201.0,,205.39690852165222,,115911,1365,,,
0.00023026113922242075,-323.5704040527344,678.0,-0.0049195075407624245,,1763260284.3673077,,0.3938658535480499,205.82320761680603,0.004779063165187836,116352,1370,7.5112714767456055,0.0,0.000593758188188076
,,,,381.0,1763260285.1871529,381.0,,206.643052816391,,117251,1380,,,
0.0002296466991538182,0.09766453504562378,680.0,0.0034424038603901863,,1763260285.2974918,,0.47523778676986694,206.7533917427063,-0.012118401005864143,117376,1381,129.51058959960938,0.0,0.00010821502655744553
,,,,372.0,1763260285.9222522,372.0,,207.3781521320343,,118119,1388,,,
0.00022880184405948967,0.3209061026573181,684.0,-0.001058909110724926,,1763260286.5548973,,0.37951743602752686,208.01079726219177,0.0010588578879833221,118784,1395,11.04804515838623,0.0,9.545031934976578e-05
,,,,292.0,1763260286.8398042,292.0,,208.29570412635803,,119130,1399,,,
0.00022826420899946243,-4.260397911071777,686.0,0.0072054266929626465,,1763260287.371913,,0.27007541060447693,208.82781291007996,-0.00950460322201252,119680,1405,2.4441676139831543,0.0,0.0004367176443338394
0.00022672810882795602,-5.881317615509033,691.0,-0.003296135924756527,,1763260289.690235,,0.4160088002681732,211.14613485336304,0.000982244499027729,122240,1432,4.299976825714111,0.0,0.0001698201522231102
0.0002266513038193807,-0.7445482015609741,691.0,0.0010970253497362137,,1763260289.7992291,,0.40254834294319153,211.2551290988922,-0.008931193500757217,122368,1433,67.87709045410156,0.0,0.0013173241168260574
0.00022534561867360026,0.1125955581665039,694.0,0.0016863690689206123,,1763260292.3412855,,0.3637900948524475,213.79718542099,-0.0016867183148860931,124544,1455,0.2504279315471649,0.0,3.482680767774582e-05
0.00022526881366502494,0.03565484285354614,694.0,0.004234571009874344,,1763260292.489596,,0.400428831577301,213.94549584388733,-0.006348449736833572,124672,1456,0.07758151739835739,0.0,0.00015643052756786346
0.00022519200865644962,-0.6603060960769653,694.0,0.005076847039163113,,1763260292.6452417,,0.44059669971466064,214.10114169120789,-0.0007592290639877319,124800,1457,1.3083693981170654,0.0,0.0004284298047423363
0.00022173579782247543,-8.645463943481445,698.0,-0.002263045869767666,,1763260299.878414,,0.4689358174800873,221.33431386947632,0.00019406527280807495,130560,1514,0.000265689188381657,0.0,0.0002960609272122383
0.00022135177277959883,7.891654968261719e-05,698.0,0.000742858275771141,,1763260300.6540174,,0.4817306399345398,222.10991740226746,-0.0020266585052013397,131200,1521,1382.0880126953125,0.0,0.00011663883924484253
,,,,500.0,1763260301.1249352,500.0,,222.58083510398865,,131623,1525,,,
0.00022096774773672223,-1.3863089084625244,699.0,0.0045248474925756454,,1763260301.427743,,0.45644956827163696,222.883642911911,-0.011156007647514343,131840,1527,0.010856491513550282,0.0,0.0008975900709629059
0.0002208141377195716,-1.0533316135406494,699.0,-0.0026596784591674805,,1763260301.7069008,,0.4161403775215149,223.1628007888794,-0.000474683940410614,132096,1529,0.00032489269506186247,0.0,7.038936018943787e-05
0.0002205069176852703,-8.40501594543457,700.0,-0.003970090299844742,,1763260302.3094203,,0.4840848743915558,223.7653203010559,-0.003904854878783226,132608,1534,0.0008978049736469984,0.0,0.00038512609899044037
0.000220430112676695,0.0006627440452575684,700.0,-0.004735671915113926,,1763260302.4569588,,0.42651236057281494,223.91285872459412,0.0022318698465824127,132736,1536,404.913330078125,0.0,0.0004868777468800545
0.00021996928262524307,-1.4394359588623047,701.0,-0.005532586947083473,,1763260303.1585624,,0.48189109563827515,224.61446237564087,-0.009754415601491928,133504,1543,0.0010674457298591733,0.001953125,0.001581832766532898
0.00021989247761666775,-0.0011211633682250977,702.0,-0.000849016010761261,,1763260303.2714777,,0.44155624508857727,224.72737765312195,-0.004254348576068878,133632,1545,1697.5474853515625,0.0,0.0004414264112710953
0.00021981567260809243,-1.3209474086761475,702.0,-0.0015646973624825478,,1763260303.3834345,,0.5010597705841064,224.83933448791504,-0.0060441382229328156,133760,1546,0.006420928984880447,0.0,0.00039912667125463486
0.00021904762252233922,-1.7147674560546875,704.0,0.0012980746105313301,,1763260304.5395544,,0.3826686143875122,225.99545431137085,0.00011994689702987671,135040,1558,0.0004987793508917093,0.0,0.00012453552335500717
,,,,500.0,1763260304.56836,500.0,,226.0242600440979,,135123,1559,,,
0.00021874040248803794,-1.7372663021087646,705.0,0.006886201910674572,,1763260305.0253844,,0.39214396476745605,226.4812843799591,-0.0025231819599866867,135552,1563,0.003592508379369974,0.0,0.0003074752166867256
0.0002185867924708873,-0.5511023998260498,706.0,0.0012228358536958694,,1763260305.250141,,0.513809323310852,226.7060408592224,-0.006239606067538261,135808,1566,0.008870439603924751,0.0,0.0005612000823020935
0.00021720430231653154,-0.36754000186920166,710.0,0.004712364636361599,,1763260307.3409996,,0.49016478657722473,228.79689955711365,-0.008298899978399277,138112,1588,0.0005286381347104907,0.00390625,0.003304603509604931
,,,,500.0,1763260307.347109,500.0,,228.80300903320312,,138123,1589,,,
0.0002166666672565043,-0.3939239978790283,712.0,0.00856028776615858,,1763260308.1623867,,0.43329334259033203,229.61828660964966,0.003358788788318634,139008,1597,0.0002617989375721663,0.0,0.0011908402666449547
0.00021605222718790174,-0.4685218334197998,713.0,0.0070857880637049675,,1763260309.098288,,0.5187252163887024,230.55418801307678,-0.003450663760304451,140032,1607,0.0004444120859261602,0.0,0.0007904423400759697
0.00021597542217932642,-0.0006774663925170898,714.0,-0.0041119977831840515,,1763260309.2124338,,0.5229547619819641,230.6683337688446,-0.009975012391805649,140160,1609,1346.69287109375,0.0,0.00031780265271663666
0.0002158986171707511,-0.0453188419342041,714.0,-0.004941954277455807,,1763260309.3227332,,0.4487617015838623,230.77863311767578,0.0011210329830646515,140288,1610,0.006409165915101767,0.0,0.0003090137615799904
0.00021574500715360045,0.5377306938171387,714.0,0.014449558220803738,,1763260309.545215,,0.5023852586746216,231.00111484527588,0.005169585347175598,140544,1612,0.00017126480815932155,0.0,0.0011997809633612633
0.00021490015205927193,-0.09140217304229736,717.0,0.001236090436577797,,1763260310.81765,,0.4817848205566406,232.27355003356934,-0.0009302347898483276,141952,1626,0.002034401288256049,0.0,0.0001966673880815506
,,,,500.0,1763260311.8708508,500.0,,233.32675075531006,,143123,1638,,,
0.00021167434169910848,-0.0012224912643432617,726.0,0.0032860739156603813,,1763260315.8064148,,0.5861776471138,237.26231479644775,-0.0020700618624687195,147328,1687,1907.942138671875,0.0,0.0002793585881590843
0.00020883257093373686,-0.2323213815689087,730.0,0.0037917550653219223,,1763260321.2067935,,0.51833176612854,242.6626935005188,0.003980629146099091,152064,1732,0.00031797189149074256,0.0,0.0005735792219638824
0.00020806452084798366,-0.06170988082885742,731.0,-0.005616167560219765,,1763260322.6038647,,0.5189031362533569,244.05976462364197,-0.0012316880747675896,153344,1745,0.0068456074222922325,0.0,0.000657159835100174
,,,,500.0,1763260323.5682054,500.0,,245.02410531044006,,154168,1753,,,
